disasterNumber,lockedInCeilingAmount,mitigationDollarsAvailable,obligatedTotalAmount,pendingProjectsQuantity
4859,229302.0,275161.0,0.0,
1316,1611813.0,476420.0,1583458.0,0.0
1618,199721.0,96629.0,155550.0,0.0
4050,217491.0,470.0,227656.0,0.0
4572,12982796.0,7518161.91,7628432.09,53.0
1445,1778522.0,579491.0,1695298.0,0.0
1440,2396000.0,799452.0,2252775.0,0.0
5380,7787780.0,5087743.66,4257592.34,4.0
5389,0.0,0.0,0.0,
1423,542393.0,370783.0,316082.0,0.0
1843,4055613.0,774822.0,3479110.0,0.0
832,317013.0,0.0,340186.0,0.0
4667,227336.0,198601.33,74201.67,1.0
5284,454432.0,482704.7,62612.3,0.0
1992,311333.0,20450.76,306106.24,0.0
4546,2126644.0,332109.29,2148975.71,0.0
4054,204099.0,31433.0,182646.0,0.0
4363,2589351.0,1519585.18,1587635.82,0.0
5084,331166.0,347360.0,0.0,0.0
1859,19180137.0,10295406.26,9822639.74,0.0
5287,0.0,0.0,0.0,
5290,0.0,0.0,0.0,
4244,587278.0,485865.71,130130.29,0.0
1865,481195.0,0.0,504725.0,0.0
4518,3493281.0,677749.68,3397744.32,1.0
1438,803646.0,316772.0,716877.0,0.0
1399,539918.0,210127.0,484316.0,0.0
4052,146617.0,7566.0,146221.0,0.0
4082,947679.0,33824.0,960197.0,0.0
1317,658284.0,408601.0,438084.0,0.0
1442,2393022.0,675867.0,2304130.0,0.0
848,115879.0,68335.0,52701.0,0.0
1866,1416356.0,0.0,1485616.0,0.0
1870,3097396.0,1576515.0,1672344.0,0.0
5238,0.0,0.0,0.0,
4591,140000.0,163333.0,0.0,2.0
5311,0.0,0.0,0.0,
1466,4146632.0,2178710.0,3112794.0,0.0
1013,1985365.0,385010.0,1672707.0,1.0
1250,7207731.0,627752.0,6689836.0,0.0
1185,1834879.0,372250.0,1523734.0,0.0
1322,356004.0,152642.0,305250.0,0.0
1835,3357055.0,2152002.05,1369212.95,0.0
4259,4089897.0,1440619.74,2849273.26,0.0
1908,1139895.0,264224.0,931412.0,0.0
5205,425008.0,145.25,445645.75,0.0
4279,1044224.0,771453.87,323833.13,0.0
979,12416818.0,1360571.0,11492224.0,1.0
1203,39640629.0,4324792.0,36132902.0,22.0
1797,2087015.0,283855.0,1905215.0,0.0
1836,1292960.0,690110.0,666076.0,0.0
5613,0.0,0.0,0.0,
1766,25531906.0,8705461.0,18074955.0,0.0
5446,1573104.0,1367776.08,519947.92,0.0
4100,1347132.0,2773.0,1410234.0,0.0
1819,30676869.0,2218521.0,29958447.0,0.0
1975,11341479.0,3038104.77,8857972.23,0.0
1400,408983.0,420620.0,105414.0,0.0
5304,1416783.0,562918.39,1137220.61,0.0
5312,0.0,0.0,0.0,
4160,797872.0,41845.43,795042.57,0.0
4174,1725612.0,12431.94,1797562.06,0.0
5314,0.0,0.0,0.0,
4460,726726.0,31690.91,840380.09,0.0
4226,1934422.0,24380.96,2004634.04,0.0
1861,2245692.0,1138100.0,1217406.0,0.0
1872,1412465.0,62773.0,1418762.0,0.0
1666,486900.0,274886.0,339901.0,0.0
1584,468984.0,156416.0,435749.0,0.0
1571,532634.0,211187.0,464357.0,0.0
1176,644986.0,146930.0,525233.0,0.0
5315,0.0,0.0,0.0,
5612,0.0,0.0,0.0,
1663,1544050.0,691750.0,1257854.0,0.0
1796,2340984.0,667771.0,1787687.0,0.0
4391,206421.0,247705.0,0.0,0.0
1657,87638.0,36982.0,73741.0,0.0
1669,1513964.0,870797.0,1055799.0,0.0
1461,242065.0,100194.0,203999.0,0.0
1155,19781137.0,2612318.0,17586209.0,1.0
5340,0.0,0.0,0.0,
5522,0.0,0.0,0.0,
4585,6144750.0,6312778.96,856096.04,6.0
1005,10227728.0,1366128.0,9168962.0,2.0
5186,0.0,0.0,0.0,
5188,0.0,0.0,0.0,
4772,262373.0,314848.0,0.0,
4482,403653220.0,393813651.35,77115005.65,41.0
909,168293.0,0.0,180546.0,0.0
1352,427777.0,357788.0,192419.0,0.0
1044,34739521.0,344398.0,35136508.0,1.0
4856,852471255.0,1022965506.0,0.0,25.0
1261,1116580.0,339416.0,1096729.0,0.0
1362,697771.0,790867.0,106606.0,0.0
4501,65576180.0,61380735.31,15124807.69,9.0
1039,8551871.0,0.0,8719963.0,0.0
5424,2097472.0,2516966.0,0.0,
1842,2009776.0,1226256.0,881798.0,0.0
1789,2467003.0,1322689.98,1264949.02,0.0
1593,1646946.0,1125386.0,992916.0,0.0
4724,357980894.0,429577073.0,0.0,62.0
4242,1189331.0,332489.17,914999.83,0.0
4457,490859.0,562151.16,26879.84,0.0
1363,422206.0,111587.0,431125.0,0.0
1845,1494611.0,193298.0,1374399.0,0.0
4143,1163363.0,78785.41,1141465.59,0.0
1516,507255.0,242761.0,409670.0,0.0
1266,3989237.0,1472403.0,3634575.0,0.0
1528,254672.0,74211.0,253348.0,0.0
5507,985111.0,1182133.0,0.0,6.0
4436,82402.0,98881.0,0.0,
4514,37279347.0,32927620.53,10564950.47,5.0
5459,0.0,0.0,0.0,
826,258547.0,0.0,277307.0,0.0
1072,999977.0,93603.0,954373.0,0.0
1119,1315468.0,3979.0,1373341.0,0.0
1214,4450957.0,394940.0,4219176.0,0.0
890,206668.0,0.0,221254.0,0.0
4254,1901112.0,6148.96,1987927.04,0.0
1047,375120.0,3011.0,393509.0,0.0
4270,408720.0,27960.74,400745.26,0.0
1636,551738.0,140968.0,568677.0,0.0
1450,1430681.0,550017.0,1255425.0,0.0
1793,605482.0,26136.0,608954.0,0.0
1108,151500.0,3431.0,158280.0,0.0
1019,688330.0,797.0,724003.0,0.0
1034,2048280.0,97929.0,2037146.0,0.0
1804,380400.0,87640.0,311362.0,0.0
1070,6732557.0,506468.0,6427682.0,0.0
1472,1041633.0,264589.0,1075159.0,0.0
5460,0.0,0.0,0.0,
1744,1753769.0,146628.0,1692900.0,0.0
1751,7634699.0,740510.0,7267526.0,0.0
1758,786895.0,237443.0,587931.0,0.0
4480,315106756.0,188584036.75,179040512.25,8.0
1582,722587.0,452227.0,462000.0,0.0
4810,10614426.0,12737311.0,0.0,
1586,619099.0,690571.0,91326.0,0.0
1477,456073.0,207508.0,374643.0,0.0
4625,18480771.0,7094586.46,14466312.54,0.0
4124,1217384.0,49216.97,1227697.03,0.0
4847,0.0,0.0,0.0,
1208,3177963.0,339598.0,2957963.0,0.0
856,451939.0,128901.0,352454.0,0.0
1473,890852.0,240772.0,895330.0,0.0
1506,2192856.0,1007336.0,1791043.0,0.0
4225,2206926.0,950282.18,1364562.82,0.0
4192,97901.0,50453.37,52234.63,0.0
1581,572278.0,608015.0,112353.0,0.0
1347,1305047.0,328718.0,1343739.0,0.0
861,1691666.0,248204.0,1536474.0,0.0
1104,1601689.0,10319.0,1654695.0,0.0
907,298784.0,65384.0,248843.0,0.0
950,26350.0,0.0,28769.0,0.0
1422,917605.0,321058.0,831698.0,0.0
1660,1197487.0,397494.0,1123094.0,0.0
5426,2097472.0,2279331.6,237634.4,1.0
1950,71835.0,504.0,74844.0,0.0
1162,3797592.0,289033.0,3651921.0,0.0
1111,933279.0,288835.0,675392.0,0.0
865,811369.0,57794.0,804268.0,0.0
4594,2458760.0,1999828.0,868725.0,2.0
1888,1486947.0,513204.7,1046453.3,0.0
1940,1796520.0,742454.0,1141916.0,0.0
5386,584083.0,599754.37,101145.63,0.0
1529,2094179.0,1752489.0,895918.0,0.0
1205,278346.0,0.0,294298.0,1.0
1646,2091716.0,1253574.0,1394670.0,0.0
1342,952763.0,220972.0,1000930.0,0.0
4513,4220713.0,609659.01,4455196.99,1.0
1011,1624125.0,116780.0,1579441.0,0.0
996,31829750.0,138893.0,32504884.0,4.0
4261,10740208.0,14977.17,11250426.83,0.0
4158,6221975.0,1533537.32,4992692.68,0.0
4193,7482350.0,4211673.0,3636564.0,0.0
4206,139888.0,3693.75,143035.25,0.0
5325,0.0,0.0,0.0,
1785,16982845.0,2064901.0,15748405.0,0.0
4402,10334983.0,1851404.04,10550575.96,0.0
5332,0.0,0.0,0.0,
1952,11457103.0,1894918.49,10122435.51,0.0
4335,32951711.0,13125310.89,26284936.11,0.0
1911,6421500.0,4258381.25,2477129.75,0.0
4490,20923034.0,3066514.23,21343691.77,2.0
911,178754.0,0.0,192811.0,1.0
1884,7311533.0,94981.0,7574086.0,0.0
1304,463160.0,585270.0,10446.0,0.0
5374,0.0,0.0,0.0,
4763,161547.0,193855.0,0.0,
4558,130525642.0,94084121.68,58195794.32,10.0
4203,846871.0,845781.88,42501.12,0.0
5381,0.0,0.0,0.0,
5383,0.0,0.0,0.0,
943,892707.0,9891.0,942004.0,0.0
869,384615.0,0.0,410020.0,1.0
5417,0.0,0.0,0.0,
4426,732287.0,171926.75,706817.25,0.0
4142,66693.0,3346.52,66607.48,0.0
5439,0.0,0.0,0.0,
5445,0.0,0.0,0.0,
1505,3179622.0,1828309.0,2218157.0,0.0
1689,1500000.0,710413.0,1141292.0,0.0
4517,6679066.0,2306288.75,5485955.25,4.0
1163,16207111.0,2056031.0,14591601.0,2.0
5296,0.0,0.0,0.0,
5297,0.0,0.0,0.0,
4413,28538274.0,20232521.58,14013406.42,9.0
4188,4763957.0,1683882.08,3313031.92,0.0
1192,1340079.0,145780.0,1245840.0,1.0
5298,0.0,0.0,0.0,
5300,0.0,0.0,0.0,
5301,0.0,0.0,0.0,
5302,0.0,0.0,0.0,
5299,0.0,0.0,0.0,
5303,0.0,0.0,0.0,
1094,841685.0,0.0,887416.0,1.0
4302,406864.0,426760.0,0.0,
4083,724874.0,5214.02,755105.98,0.0
1016,1517576.0,182843.0,1403671.0,1.0
4465,15694707.0,5679883.45,13090984.55,0.0
5192,0.0,0.0,0.0,
4357,4201983.0,4001795.77,900517.23,0.0
1267,3229272.0,1962327.0,2167204.0,0.0
1810,9476000.0,1773304.25,8166071.75,0.0
1181,5516989.0,1647954.0,4031169.0,1.0
1046,19516997.0,368.0,19981617.0,1.0
872,155065.0,131.0,167114.0,0.0
942,777004.0,557069.0,235243.0,0.0
1251,10581012.0,-2607422.0,13298291.0,2.0
1038,249200.0,1029.0,261797.0,0.0
4632,331135.0,366874.88,19449.12,3.0
5523,0.0,0.0,0.0,
4578,1182820.0,128668.04,1251288.96,0.0
5280,0.0,0.0,0.0,
4420,45862262.0,16128889.03,38905824.97,2.0
5279,0.0,0.0,0.0,
